,Director,Actor_list
132,Spike Lee,Harvey Keitel
133,Frank Marshall,Laura Linney
134,Tony Scott,Gene Hackman
135,Terry Zwigoff,Robert Crumb
136,Robert Rodriguez,Antonio Banderas
137,Carl Franklin,Denzel Washington
138,John McTiernan,Bruce Willis
139,Gregg Araki,James Duval
140,Jerry Zucker,Sean Connery
141,Dwight H. Little,Jason James Richter
142,Iain Softley,Jonny Lee Miller
143,Christopher Ashley,Steven Weber
144,Robert Longo,Keanu Reeves
145,Danny Cannon,Sylvester Stallone
146,John Fortenberry,Pauly Shore
147,Larry Clark,Leo Fitzpatrick
148,Tom DiCillo,Steve Buscemi
149,Clive Barker,Scott Bakula
150,Denys Arcand,Thomas Gibson
151,Antonia Bird,Chris O'Donnell
152,Kevin Smith,Shannen Doherty
153,Bryan Spicer,Karan Ashley
154,Anthony Waller,Marina Zudina
155,Michael Almereyda,Elina Löwensohn
156,Irwin Winkler,Sandra Bullock
157,Chris Columbus,Hugh Grant
158,Daisy von Scherler Mayer,Parker Posey
159,Gregory Widen,Christopher Walken
160,Norman René,Mia Farrow
161,Todd Haynes,Julianne Moore
162,Roland Joffé,Demi Moore
163,Paul Verhoeven,Elizabeth Berkley
164,Wayne Wang,Harvey Keitel
165,Lasse Hallström,Julia Roberts
166,Roger Donaldson,Natasha Henstridge
167,Kathryn Bigelow,Ralph Fiennes
168,Jacques Demy,Catherine Deneuve
169,Martha Coolidge,Patrick Swayze
170,Agnieszka Holland,Leonardo DiCaprio
171,Beeban Kidron,Wesley Snipes
172,Geoff Murphy,Steven Seagal
173,Diane Keaton,Andie MacDowell
174,Douglas Keeve,Isaac Mizrahi
175,Alfonso Arau,Keanu Reeves
176,Kevin Reynolds,Kevin Costner
177,Desmond Nakano,John Travolta
178,Walter Hill,Jeff Bridges
179,Mike Figgis,Albert Finney
180,Greg Beeman,Daniel Stern
181,Nikita Mikhalkov,Nikita Mikhalkov
182,Milcho Manchevski,Katrin Cartlidge
183,Richard Linklater,Ethan Hawke
184,Tamra Davis,Adam Sandler
185,Guy Ferland,Alicia Silverstone
186,Herbert Ross,Whoopi Goldberg
187,Peter Horton,Joseph Mazzello
188,Stuart Gordon,Jeffrey Combs
189,Pat O'Connor,Chris O'Donnell
190,Kevin Smith,Brian O'Halloran
191,Jeremy Leven,Johnny Depp
192,Barry Levinson,Michael Douglas
193,John Badham,Wesley Snipes
194,Jack Baran,Dylan McDermott
195,Roman Polanski,Sigourney Weaver
196,Taylor Hackford,Kathy Bates
197,Peter FarrellyBobby Farrelly(uncredited),Jim Carrey
198,Ang Lee,Sihung Lung
199,Atom Egoyan,Bruce Greenwood
200,Garry Marshall,Dana Delany
201,Tim Burton,Johnny Depp
202,Lawrence Kasdan,Meg Ryan
203,Billy Crystal,Billy Crystal
204,Phillip Borsos,Jesse Bradford
205,Kevin Lima,Bill Farmer
206,Brett Leonard,Jeff Goldblum
207,Carlo Carlei,Matthew Modine
208,Gérard Corbiau,Stefano Dionisi
209,Mark Lewis,Kristy Young
210,Steve James,William Gates
211,Peter Jackson,Melanie Lynskey
212,Randall Miller,Sinbad
213,Bernard Rose,Gary Oldman
214,Steven Brill,Tom McGowan
215,J.F. Lawton,Christopher Lambert
216,Fred Schepisi,Tim Robbins
217,Neil Jordan,Brad Pitt
218,James Ivory,Nick Nolte
219,James Melkonian,John G. Brennan
220,Ivan Reitman,Arnold Schwarzenegger
221,Arne Glimcher,Sean Connery
222,Michael Gottlieb,Thomas Ian Nicholas
223,Barbet Schroeder,David Caruso
224,George Lucas,Mark Hamill
225,Gillian Armstrong,Susan Sarandon
226,Alfonso Cuarón,Liesel Matthews
227,Ken Loach,Crissy Rock
228,Alfonso Arau,Marco Leonardi
229,Edward Zwick,Brad Pitt
230,Nick Castle,Damon Wayans
231,Allison Anders,Angel Aviles
232,Glenn Gordon Caron,Warren Beatty
233,Stephen Gyllenhaal,Jessica Lange
234,Nicholas Hytner,Nigel Hawthorne
235,Kenneth Branagh,Robert De Niro
236,James Orr,Chevy Chase
237,Nora Ephron,Steve Martin
238,Richard Benjamin,Melanie Griffith
239,Les Mayfield,Richard Attenborough
240,David Frankel,Sarah Jessica Parker
241,Gregory Nava,Jimmy Smits
242,Marc Rocco,Christian Slater
243,Robert Benton,Paul Newman
244,Michael Apted,Jodie Foster
245,Nick Gomez,Shar-Ron Corley
246,Tôru Murakawa,Tôru Nakamura
247,Vadim Jean,Craig Fairbrass
248,Alan Jacobs,Laura San Giacomo
249,Oliver Stone,Woody Harrelson
250,Norman Jewison,Marisa Tomei
251,Lee Tamahori,Rena Owen
252,Anne Goursaud,Alyssa Milano
253,Wolfgang Petersen,Dustin Hoffman
254,Luc Besson,Jean Reno
255,Mira Nair,Marisa Tomei
256,Joshua Brand,William Baldwin
257,Quentin Tarantino,John Travolta
258,Ang Lee,Sihung Lung
259,Antonia Bird,Linus Roache
260,Robert Redford,Ralph Fiennes
261,Kayo Hatta,Yûki Kudô
262,Patrice Chéreau,Isabelle Adjani
263,Sam Raimi,Sharon Stone
264,Peter Yates,Peter Falk
265,Robert Altman,Sophia Loren
266,Krzysztof Kieslowski,Irène Jacob
267,Krzysztof Kieslowski,Juliette Binoche
268,Krzysztof Kieslowski,Zbigniew Zamachowski
269,Fred Gerber,Leslie Nielsen
270,George Mihalka,Darlanne Fluegel
271,Harold Ramis,Al Franken
272,Richard Rich,Jack Palance
273,John Sayles,Jeni Courtney
274,Luis Llosa,Sylvester Stallone
275,Roland Emmerich,Kurt Russell
276,John Pasquin,Tim Allen
277,Frank Darabont,Tim Robbins
278,Danny Boyle,Kerry Fox
279,Scott McGeheeDavid Siegel,Dennis Haysbert
280,Tomás Gutiérrez AleaJuan Carlos Tabío,Jorge Perugorría
281,George Huang,Kevin Spacey
282,Geoff BurtonKevin Dowling,Jack Thompson
283,Kelly Makin,Matt Frewer
284,Yimou Zhang,You Ge
285,Rachel Talalay,Lori Petty
286,Ernest R. Dickerson,Billy Zane
287,David Carson,Patrick Stewart
288,Rusty Cundieff,Clarence Williams III
289,Brian Gilbert,Willem Dafoe
290,John Carpenter,Christopher Reeve
291,Peter Segal,Chris Farley
292,Louis Malle,Wallace Shawn
293,Steven Soderbergh,Peter Gallagher
294,Preston A. Whitmore II,Allen Payne
295,Lasse Hallström,Johnny Depp
296,Brett Leonard,Denzel Washington
297,Jon Turteltaub,Sandra Bullock
298,Jon Avnet,Elijah Wood
299,Mina Shum,Sandra Oh
300,P.J. Hogan,Toni Collette
301,Melanie Mayron,Schuyler Fisk
302,Tom Shadyac,Jim Carrey
303,Stephan Elliott,Hugo Weaving
304,Iain Softley,Stephen Dorff
305,Roman Polanski,Hugh Grant
306,Woody Allen,John Cusack
307,Phillip Noyce,Harrison Ford
308,Joel Schumacher,Susan Sarandon
309,Jessie Nelson,Ray Liotta
310,Spike Lee,Alfre Woodard
311,Alex Proyas,Brandon Lee
312,Ron Shelton,Tommy Lee Jones
313,Brian Levant,John Goodman
314,Robert Zemeckis,Tom Hanks
315,Mike Newell,Hugh Grant
316,John Singleton,Omar Epps
317,Darnell Martin,Luna Lauren Velez
318,Charles Shyer,Nick Nolte
319,Andrew Bergman,Nicolas Cage
320,Stephen Sommers,Jason Scott Lee
321,Ray Müller,Leni Riefenstahl
322,Roger AllersRob Minkoff,Matthew Broderick
323,Bernardo Bertolucci,Keanu Reeves
324,Wes Craven,Heather Langenkamp
325,Chuck Russell,Jim Carrey
326,Richard Donner,Mel Gibson
327,Alan Rudolph,Jennifer Jason Leigh
328,Peter Segal,Leslie Nielsen
329,Ron Howard,Michael Keaton
330,Ben Stiller,Winona Ryder
331,John Dahl,Nicolas Cage
332,Donald Petrie,Macaulay Culkin
333,Curtis Hanson,Meryl Streep
334,Jan de Bont,Keanu Reeves
335,Ron Underwood,Michael Keaton
336,Peter Hyams,Jean-Claude Van Damme
337,James Cameron,Arnold Schwarzenegger
338,Luis Mandoki,Meg Ryan
339,Mike Nichols,Jack Nicholson
340,Lawrence Kasdan,Kevin Costner
341,Damian Harris,Ellen Barkin
342,Suri Krishnamma,Albert Finney
343,Jefery Levy,Stephen Dorff
344,Keenen Ivory Wayans,Keenen Ivory Wayans
345,Robert Lee King(segment The Disco Years)Raoul O'Connell(segment A Friend of Dorothy)Brian Sloan(segment Pool Days),James Andrews
346,Yves Angelo,Gérard Depardieu
347,Russ Meyer,Tura Satana
348,Doug McHenry,Allen Payne
349,Steven E. de Souza,Jean-Claude Van Damme
350,Andrew Morahan,Christopher Lambert
351,Michael Corrente,Nicholas Turturro
352,John Carpenter,Sam Neill
353,John G. Avildsen,Luke Perry
354,Jeff Pollack,Duane Martin
355,Barry Sonnenfeld,Anjelica Huston
356,Martin Scorsese,Daniel Day-Lewis
357,Michael Lehmann,Brendan Fraser
358,Paul Michael Glaser,Kevin Bacon
359,John Badham,Richard Dreyfuss
360,Jonathan Kaplan,Madeleine Stowe
361,Whit Stillman,Taylor Nichols
362,Bill Forsyth,Robin Williams
363,Penelope Spheeris,Diedrich Bader
364,John Landis,Eddie Murphy
365,Caroline Thompson,Sean Bean
366,Michael Apted,Madeleine Stowe
367,Stephen Hopkins,Jeff Bridges
368,William Friedkin,Nick Nolte
369,Tony Richardson,Jessica Lange
370,Abel Ferrara,Gabrielle Anwar
371,Jennifer Lynch,Julian Sands
372,Robert De Niro,Robert De Niro
373,Adam Resnick,Chris Elliott
374,John Whitesell,Jason Priestley
375,Brian De Palma,Al Pacino
376,Paul Weiland,Billy Crystal
377,Mick Jackson,Dana Carvey
378,Renny Harlin,Sylvester Stallone
379,Steve Barron,Dan Aykroyd
380,Richard Rush,Bruce Willis
381,Michael Ritchie,Chevy Chase
382,Gregg Champion,Woody Harrelson
383,Ivan Reitman,Kevin Kline
384,Richard Linklater,Jason London
385,Marco Brambilla,Sylvester Stallone
386,Gus Van Sant,Uma Thurman
387,Carl Reiner,Armand Assante
388,Kaige Chen,Leslie Cheung
389,Peter Weir,Jeff Bridges
390,Rusty Cundieff,Larry B. Scott
391,Alek Keshishian,Joe Pesci
392,Steve Kloves,Dennis Quaid
393,John Irvin,Joan Plowright
394,Barry Sonnenfeld,Michael J. Fox
395,Sydney Pollack,Tom Cruise
396,Simon Wincer,Jason James Richter
397,Boaz Yakin,Sean Nelson
398,Andrew Davis,Harrison Ford
399,Walter Hill,Jason Patric
400,Roger Donaldson,Alec Baldwin
401,Howard Deutch,Macaulay Culkin
402,Rose Troche,V.S. Brodie
403,John Woo,Jean-Claude Van Damme
404,Jim Abrahams,Charlie Sheen
405,Julianna Lavin,Dana Delany
406,Christopher Monger,Hugh Grant
407,Bille August,Jeremy Irons
408,Eric Meza,Christopher Reid
409,Joel CoenEthan Coen(uncredited),Tim Robbins
410,James L. Brooks,Nick Nolte
411,Daniel Petrie Jr.,Pauly Shore
412,Wolfgang Petersen,Clint Eastwood
413,Jim Sheridan,Daniel Day-Lewis
414,Matty Rich,Larenz Tate
415,Brian Gibson,Angela Bassett
416,Barry Levinson,Joe Pesci
417,Stephen Hopkins,Emilio Estevez
418,Steven Spielberg,Sam Neill
419,Dominic Sena,Brad Pitt
420,Roger Avary,Eric Stoltz
421,Daniel Petrie,Helen Slater
422,John McTiernan,Arnold Schwarzenegger
423,James Lapine,Michael J. Fox
424,Simon Wincer,Paul Hogan
425,David Cronenberg,Jeremy Irons
426,Richard Benjamin,Whoopi Goldberg
427,Harold Becker,Alec Baldwin
428,Mel Gibson,Mel Gibson
429,Woody Allen,Woody Allen
430,Albert HughesAllen Hughes,Tyrin Turner
431,Stuart Baird,Kurt Russell
432,Nagisa Ôshima,Tatsuya Fuji
433,Tom Noonan,Tom Noonan
434,Kenneth Branagh,Kenneth Branagh
435,Anthony Minghella,Matt Dillon
436,Chris Columbus,Robin Williams
437,Mike Leigh,David Thewlis
438,Christopher Cain,Pat Morita
439,Martin Campbell,Ray Liotta
440,Rob Reiner,Elijah Wood
441,Sally Potter,Tilda Swinton
442,Clint Eastwood,Kevin Costner
443,Jonathan Demme,Tom Hanks
444,Jane Campion,Holly Hunter
445,John Singleton,Janet Jackson
446,David S. Ward,James Caan
447,Stuart Orme,Donald Sutherland
448,Mel Smith,Brian Benben
449,Ted Demme,Denis Leary
450,James Ivory,Anthony Hopkins
451,Penny Marshall,Danny DeVito
452,Philip Kaufman,Sean Connery
453,Alan Parker,Anthony Hopkins
454,Fred Dekker,Robert John Burke
455,Mel Brooks,Cary Elwes
456,Peter Medak,Gary Oldman
457,Geoffrey Wright,Russell Crowe
458,Victor Nunez,Ashley Judd
459,David Anspaugh,Sean Astin
460,Cyril Collard,Cyril Collard
461,Steven Spielberg,Liam Neeson
462,Michael Ritchie,Albert Brooks
463,Steven Zaillian,Joe Mantegna
464,Agnieszka Holland,Kate Maberly
465,John Waters,Kathleen Turner
466,Russell Mulcahy,Alec Baldwin
467,Richard Attenborough,Anthony Hopkins
468,Robert Altman,Andie MacDowell
469,Gillies MacKinnon,Steve Martin
470,John Duigan,Hugh Grant
471,Fred Schepisi,Will Smith
472,Nora Ephron,Tom Hanks
473,Phillip Noyce,Sharon Stone
474,Ridley Scott,Harrison Ford
475,Steve Rash,Pauly Shore
476,Thomas Schlamme,Mike Myers
477,Rowdy Herrington,Bruce Willis
478,Annabel JankelRocky Morton,Bob Hoskins
479,Ernest R. Dickerson,Rutger Hauer
480,Deran Sarafian,Charlie Sheen
481,François Girard,Colm Feore
482,Andrew Fleming,Lara Flynn Boyle
483,Henry Selick,Danny Elfman
484,Stephen Herek,Charlie Sheen
485,George P. CosmatosKevin Jarre(Charlton Heston scenes),Kurt Russell
486,Tony Scott,Christian Slater
487,Chris HegedusD.A. Pennebaker,James Carville
488,Pixote Hunt(animation director)Joe Johnston(live action sequences),Macaulay Culkin
489,Todd Solondz,Heather Matarazzo
490,Claude Berri,Renaud
491,Dennis Hopper,Tom Berenger
492,Pedro Almodóvar,Peter Coyote
493,Gurinder Chadha,Kim Vithana
494,Andrew Scheinman,Luke Edwards
495,Lina Wertmüller,Paolo Villaggio
496,David O. Russell,Jeremy Davies
497,Penelope Spheeris,Travis Tedford
498,George Miller,Tina Majorino
499,Ricky Tognazzi,Carlo Cecchi
500,Michael Austin,Phoebe Cates
501,Rob EpsteinJeffrey Friedman,Lily Tomlin
502,Nanni Moretti,Nanni Moretti
503,Betty Thomas,Shelley Long
504,Chris Columbus,Macaulay Culkin
505,Jerry Zucker,Patrick Swayze
506,Ron ClementsJohn Musker,Scott Weinger
507,James Cameron,Arnold Schwarzenegger
508,Kevin Costner,Kevin Costner
509,Tim Burton,Michael Keaton
510,Jonathan Demme,Jodie Foster
511,William Cottrell(sequence director)David Hand(supervising director)Wilfred Jackson(sequence director),Adriana Caselotti
512,Gary TrousdaleKirk Wise,Paige O'Hara
513,Norman Ferguson(sequence director)T. Hee(sequence director)Wilfred Jackson(sequence director),Dickie Jones
514,Garry Marshall,Richard Gere
515,Sam Peckinpah,William Holden
516,C.M. Talkington,Gil Bellows
517,Jean Bach,Dizzy Gillespie
518,Michael Hoffman,Michelle Pfeiffer
519,Bill Condon,Tony Todd
520,Joel CoenEthan Coen(uncredited),William H. Macy
521,David R. Ellis,Michael J. Fox
522,Gerald PottertonJohn Bruno(segment Soft Landing)John Halas(segment So Beautiful and So Dangerous),Richard Romanus
523,Kevin Yagher,Bruce Ramsay
524,Matt Reeves,David Schwimmer
525,Franco Zeffirelli,William Hurt
526,Franco Brusati,Nino Manfredi
527,Wolfgang Reitherman,Phil Harris
528,Pedro Almodóvar,Marisa Paredes
529,Fernando Trueba,Antonio Banderas
530,Bill Couturié,Matt LeBlanc
531,Martin Lawrence,Martin Lawrence
532,Stacy Title,Cameron Diaz
533,Gregory Hoblit,Richard Gere
534,Larry LekerPaul Sabella,Charlie Sheen
535,Ken Loach,Ian Hart
536,Hal Salwen,Tim Daly
537,Jonathan R. Betuel,Whoopi Goldberg
538,Richard Pearce,Robert Duvall
539,Todd Verow,Michael Gunther
540,Jonathan Lynn,Steve Martin
541,Tim Sullivan,Richard E. Grant
542,Spike Lee,Theresa Randle
543,Jeremiah S. Chechik,Sharon Stone
544,Claude Sautet,Emmanuelle Béart
545,Edward Zwick,Denzel Washington
546,Brian De Palma,Tom Cruise
547,Friðrik Þór Friðriksson,Masatoshi Nagase
548,Pen Densham,Robin Wright
549,Rob Cohen,Dennis Quaid
550,Steve Rash,Whoopi Goldberg
551,Henry Selick,Paul Terry
552,James Foley,Mark Wahlberg
553,Kelly Makin,Dave Foley
554,Emir Kusturica,Predrag 'Miki' Manojlovic
555,Alan MehrezPhilip Tan(uncredited),Daniel Bernhardt
556,Satyajit Ray,Kanu Bannerjee
557,Satyajit Ray,Soumitra Chatterjee
558,Jim Mallon,Trace Beaulieu
559,Joe Pytka,Michael Jordan
560,Roger Vadim,Jane Fonda
561,George Hickenlooper,Billy Bob Thornton
562,Peter Yates,Albert Finney
563,Jean-Luc Godard,Eddie Constantine
564,Randal Kleiser,Eric Roberts
565,Simon Wincer,Danny Glover
566,Richard Benjamin,Shirley MacLaine
567,Norberto Barba,Mario Van Peebles
568,Robert Mandel,Tom Berenger
569,Pat Verducci,Alicia Silverstone
570,Steven Baigelman,Keanu Reeves
571,Zalman King,Audie England
572,Patrick Read Johnson,Charlie Talbert
573,Stacy Cochran,Winona Ryder
574,Jean-Claude Van Damme,Jean-Claude Van Damme
575,Steve Gomer,Rhea Perlman
576,Lee Tamahori,Nick Nolte
577,Michael Lehmann,Uma Thurman
578,George Scribner,Joey Lawrence
579,Tom DeCerchio,Damon Wayans
580,Alan ShapiroShelly Hatton(Directors attachment: Geoff Nottage),Paul Hogan
581,Jim Jarmusch,Johnny Depp
582,Jean-Paul Rappeneau,Olivier Martinez
583,Jean-Marie Poiré,Christian Clavier
584,Harold Ramis,Michael Keaton
585,N/A,N/A
586,Brett Thompson,Maila Nurmi
587,Andrew Fleming,Robin Tunney
588,Reginald Hudlin,Samuel L. Jackson
589,Bruce Beresford,Sharon Stone
590,John Schlesinger,Eileen Atkins
591,Phil Joanou,Alec Baldwin
592,Michael Bay,Sean Connery
593,Michele Soavi,Rupert Everett
594,Jan de Bont,Helen Hunt
595,David Hogan,Pamela Anderson
596,Mamoru Oshii,Atsuko Tanaka
597,Tom Holland,Robert John Burke
598,Rick Friedberg,Leslie Nielsen
599,Nick Park,Peter Sallis
600,John Landis,Tom Arnold
601,David Twohy,Charlie Sheen
602,Stanley Kubrick,Peter Sellers
603,Kar-Wai Wong,Brigitte Lin
604,Freida Lee Mock,Freida Lee Mock
605,Joseph Vilsmaier,Dominique Horwitz
606,Simon Wincer,Billy Zane
607,Andrew Bergman,Demi Moore
608,James Mangold,Pruitt Taylor Vince
609,Francis Ford Coppola,Robin Williams
610,Mary Harron,Lili Taylor
611,Djibril Diop Mambéty,Magaye Niang
612,Federico Fellini(segment Toby Dammit)Louis Malle(segment William Wilson)Roger Vadim(segment Metzengerstein),Jane Fonda
613,Danny Boyle,Ewan McGregor
614,Scott Winant,Jeanne Tripplehorn
615,Roland Emmerich,Will Smith
616,Bernardo Bertolucci,Jeremy Irons
617,Tony Scott,Robert De Niro
618,Gary TrousdaleKirk Wise,Demi Moore
619,Ben Stiller,Jim Carrey
620,Bobby FarrellyPeter Farrelly,Woody Harrelson
621,Chuck Russell,Arnold Schwarzenegger
622,Tom Shadyac,Eddie Murphy
623,Lucian Pintilie,Kristin Scott Thomas
624,N/A,N/A
625,Alexandre Rockwell,Rosie Perez
626,Rob Cohen,Sylvester Stallone
627,Peter Jackson,Michael J. Fox
628,John Sayles,Chris Cooper
629,Bronwen Hughes,Michelle Trachtenberg
630,Jon Turteltaub,John Travolta
631,Nicole Holofcener,Catherine Keener
632,Edward Burns,Edward Burns
633,Joel Schumacher,Matthew McConaughey
634,Michael Corrente,Dustin Hoffman
635,Fraser C. Heston,Thora Birch
636,Kevin Hooks,Laurence Fishburne
637,Paul Michael Glaser,Shaquille O'Neal
638,Howard Franklin,Bill Murray
639,Arlene Sanford,Shelley Long
640,Éric Rohmer,Patrick Bauchau
641,Peter Sehr,André Eisermann
642,Steve Barron,Martin Landau
643,John Payson,Jerry O'Connell
644,Hugh Wilson,Goldie Hawn
645,Ron Howard,Mel Gibson
646,Hart Bochner,Jon Lovitz
647,Annette Haywood-Carter,Hedy Burress
648,Andrew Davis,Keanu Reeves
649,Danny DeVito,Danny DeVito
650,Douglas McGrath,Gwyneth Paltrow
651,Tim Pope,Vincent Perez
652,Harry Winer,Jamie Lee Curtis
653,Georges Franju,Pierre Brasseur
654,Gilbert Adler,Dennis Miller
655,Lee David Zlotoff,Alison Elliott
656,John Carpenter,Kurt Russell
657,Julian Schnabel,Jeffrey Wright
658,Ron Shelton,Kevin Costner
659,Francis Ford Coppola,Marlon Brando
660,Stanley Tong,Jackie Chan
661,Lana WachowskiLilly Wachowski,Jennifer Tilly
662,Arthur Hiller,Tom Arnold
663,Robert Altman,Jennifer Jason Leigh
664,Christopher Cain,Joe Pesci
665,Izidore K. Musallam,Alexandra Paul
666,Stanley Tong,Michelle Yeoh
667,Peter Hyams,Penelope Ann Miller
668,John FrankenheimerRichard Stanley(uncredited),David Thewlis
669,David Mickey Evans,Sinbad
670,David Koepp,Kyle MacLachlan
671,Norman Jewison,Whoopi Goldberg
672,Ernest R. Dickerson,Damon Wayans
673,Roy Allen Smith,Scott McAfee
674,Theo van Gogh,Ariane Schluter
675,Joe Chappelle,Donald Pleasence
676,Trevor Nunn,Helena Bonham Carter
677,Keith Gordon,Nick Nolte
678,André Téchiné,Élodie Bouchez
679,Sam Wood,Gary Cooper
680,George Cukor,Cary Grant
681,Stanley DonenGene Kelly,Gene Kelly
682,Vincente Minnelli,Gene Kelly
683,Stanley Donen,Audrey Hepburn
684,Blake Edwards,Audrey Hepburn
685,Alfred Hitchcock,James Stewart
686,Alfred Hitchcock,James Stewart
687,Frank Capra,Clark Gable
688,George Cukor,Charles Boyer
689,Mark Sandrich,Fred Astaire
690,Alfred Hitchcock,Cary Grant
691,Billy Wilder,Jack Lemmon
692,Billy Wilder,Marilyn Monroe
693,Stanley Donen,Cary Grant
694,Michael Curtiz,Humphrey Bogart
695,John Huston,Humphrey Bogart
696,George Cukor,Audrey Hepburn
697,Billy Wilder,Humphrey Bogart
698,William Wyler,Gregory Peck
699,Walter LangWilliam A. Seiter(uncredited),Shirley Temple
700,Vincente Minnelli,Judy Garland
701,Victor FlemingGeorge Cukor(uncredited)Mervyn LeRoy(uncredited),Judy Garland
