∞Ì∞¥ID,≥Ø¬•,«‡µø
C_11,2020-01-01,A7
C_11,2020-01-03,A7
C_11,2020-02-05,A2
C_11,2020-03-12,A4
C_11,2020-03-25,A1
C_11,2020-04-11,A1
C_11,2020-04-13,A5
C_11,2020-04-14,A4
C_11,2020-04-21,A6
C_11,2020-05-09,A2
C_11,2020-05-15,A5
C_11,2020-06-13,A2
C_12,2020-01-13,A4
C_12,2020-02-03,A4
C_12,2020-02-04,A1
C_12,2020-02-15,A7
C_12,2020-02-28,A7
C_12,2020-03-22,A7
C_12,2020-03-25,A3
C_12,2020-04-01,A7
C_12,2020-04-13,A1
C_12,2020-04-15,A1
C_12,2020-04-19,A1
C_12,2020-05-17,A3
C_12,2020-05-19,A4
C_12,2020-06-07,A3
C_13,2020-01-01,A3
C_13,2020-01-04,A4
C_13,2020-01-29,A4
C_13,2020-02-04,A3
C_13,2020-02-20,A2
C_13,2020-04-17,A6
C_13,2020-04-27,A1
C_13,2020-05-05,A6
C_13,2020-05-10,A6
C_13,2020-05-23,A1
C_13,2020-05-24,A7
C_13,2020-05-25,A3
C_14,2020-01-17,A1
C_14,2020-02-03,A5
C_14,2020-02-14,A7
C_14,2020-02-15,A2
C_14,2020-02-23,A3
C_14,2020-02-25,A6
C_14,2020-03-08,A7
C_14,2020-03-11,A1
C_14,2020-04-05,A5
C_14,2020-04-10,A7
C_14,2020-05-15,A2
C_14,2020-05-28,A5
C_15,2020-01-01,A5
C_15,2020-02-17,A5
C_15,2020-02-18,A1
C_15,2020-03-18,A1
C_15,2020-03-23,A5
C_15,2020-03-26,A6
C_15,2020-03-30,A1
C_15,2020-04-06,A3
C_15,2020-05-14,A1
C_15,2020-05-26,A4
C_16,2020-01-03,A5
C_16,2020-01-16,A6
C_16,2020-02-05,A6
C_16,2020-03-09,A4
C_16,2020-04-02,A5
C_16,2020-04-04,A2
C_16,2020-04-21,A6
C_16,2020-05-13,A1
C_16,2020-05-22,A1
C_16,2020-05-30,A1
C_17,2020-01-01,A5
C_17,2020-01-18,A6
C_17,2020-01-28,A1
C_17,2020-01-29,A1
C_17,2020-03-01,A1
C_17,2020-03-08,A1
C_17,2020-03-19,A4
C_17,2020-04-09,A4
C_17,2020-04-10,A3
C_17,2020-04-11,A2
C_17,2020-04-13,A6
C_17,2020-04-14,A4
C_17,2020-05-07,A3
C_17,2020-05-10,A7
C_17,2020-05-19,A4
C_17,2020-05-24,A6
C_17,2020-05-29,A1
C_17,2020-06-08,A6
C_18,2020-01-01,A1
C_18,2020-01-12,A7
C_18,2020-01-26,A2
C_18,2020-01-27,A5
C_18,2020-02-10,A6
C_18,2020-02-18,A4
C_18,2020-03-09,A1
C_18,2020-03-10,A1
C_18,2020-03-26,A4
C_18,2020-03-29,A4
C_18,2020-04-08,A6
C_18,2020-04-16,A4
C_18,2020-04-28,A3
C_18,2020-05-02,A3
C_18,2020-05-28,A2
C_18,2020-06-16,A1
C_19,2020-01-08,A2
C_19,2020-01-22,A5
C_19,2020-01-31,A4
C_19,2020-02-01,A1
C_19,2020-02-03,A1
C_19,2020-02-10,A5
C_19,2020-02-13,A4
C_19,2020-02-24,A3
C_19,2020-04-02,A7
C_19,2020-04-07,A3
C_19,2020-04-13,A1
C_19,2020-04-16,A4
C_19,2020-05-02,A3
C_19,2020-05-04,A2
C_19,2020-05-07,A6
C_19,2020-06-05,A2
C_19,2020-06-08,A1
C_20,2020-01-04,A3
C_20,2020-01-11,A2
C_20,2020-02-05,A5
C_20,2020-02-07,A6
C_20,2020-02-14,A1
C_20,2020-02-24,A1
C_20,2020-02-25,A1
C_20,2020-02-28,A5
C_20,2020-03-24,A1
C_20,2020-03-26,A6
C_20,2020-03-29,A1
C_20,2020-04-12,A2
C_20,2020-04-23,A5
C_20,2020-04-24,A5
C_20,2020-04-29,A4
C_20,2020-05-28,A4
C_20,2020-06-05,A3
C_21,2020-01-06,A6
C_21,2020-01-16,A7
C_21,2020-01-19,A5
C_21,2020-01-30,A1
C_21,2020-02-06,A3
C_21,2020-02-08,A6
C_21,2020-03-23,A7
C_21,2020-04-16,A7
C_21,2020-04-28,A3
C_21,2020-05-15,A4
C_21,2020-05-18,A3
C_21,2020-05-25,A3
C_21,2020-06-03,A6
C_21,2020-06-05,A5
C_21,2020-06-21,A2
C_22,2020-01-19,A1
C_22,2020-02-07,A1
C_22,2020-02-12,A1
C_22,2020-02-15,A2
C_22,2020-02-16,A5
C_22,2020-02-28,A3
C_22,2020-04-17,A1
C_22,2020-05-08,A1
C_22,2020-05-21,A3
C_22,2020-06-10,A7
C_23,2020-01-26,A5
C_23,2020-01-27,A5
C_23,2020-01-29,A2
C_23,2020-02-05,A1
C_23,2020-02-06,A5
C_23,2020-02-07,A2
C_23,2020-03-22,A3
C_23,2020-04-06,A7
C_23,2020-04-09,A4
C_23,2020-04-15,A1
C_23,2020-05-17,A6
C_23,2020-06-02,A1
C_23,2020-06-11,A1
C_23,2020-06-15,A3
C_23,2020-06-23,A3
C_24,2020-01-03,A1
C_24,2020-01-06,A7
C_24,2020-02-12,A5
C_24,2020-02-13,A2
C_24,2020-02-15,A6
C_24,2020-03-24,A7
C_24,2020-04-05,A7
C_24,2020-04-10,A4
C_24,2020-04-13,A4
C_24,2020-04-16,A1
C_24,2020-05-09,A2
C_24,2020-05-27,A3
C_24,2020-05-30,A6
C_24,2020-05-31,A1
C_24,2020-06-02,A5
C_24,2020-06-08,A2
C_24,2020-06-15,A5
C_25,2020-01-14,A6
C_25,2020-02-18,A6
C_25,2020-02-21,A1
C_25,2020-03-03,A1
C_25,2020-03-18,A1
C_25,2020-03-20,A5
C_25,2020-03-24,A4
C_25,2020-04-06,A1
C_25,2020-04-11,A6
C_25,2020-04-13,A5
C_25,2020-04-16,A3
C_25,2020-05-02,A1
C_25,2020-06-02,A7
C_25,2020-06-20,A5
C_26,2020-01-04,A5
C_26,2020-01-05,A2
C_26,2020-02-07,A6
C_26,2020-02-17,A1
C_26,2020-02-20,A7
C_26,2020-03-05,A6
C_26,2020-03-10,A2
C_26,2020-04-06,A5
C_26,2020-04-24,A6
C_26,2020-05-17,A5
C_26,2020-05-20,A1
C_26,2020-06-03,A6
C_26,2020-06-07,A2
C_26,2020-06-12,A5
C_26,2020-06-14,A3
C_27,2020-01-17,A4
C_27,2020-02-09,A1
C_27,2020-02-16,A6
C_27,2020-02-25,A2
C_27,2020-03-20,A5
C_27,2020-04-20,A1
C_27,2020-04-28,A2
C_27,2020-05-16,A6
C_27,2020-05-31,A2
C_28,2020-01-07,A2
C_28,2020-03-06,A5
C_28,2020-03-07,A5
C_28,2020-03-09,A4
C_28,2020-03-26,A4
C_28,2020-04-17,A1
C_28,2020-04-27,A7
C_28,2020-05-08,A4
C_28,2020-05-10,A4
C_28,2020-06-09,A4
C_28,2020-06-18,A3
C_29,2020-02-09,A5
C_29,2020-03-25,A2
C_29,2020-03-27,A3
C_29,2020-04-02,A7
C_29,2020-04-22,A1
C_29,2020-05-09,A7
C_29,2020-06-02,A1
C_29,2020-06-03,A5
C_29,2020-06-09,A6
C_30,2020-01-06,A7
C_30,2020-01-20,A4
C_30,2020-01-22,A7
C_30,2020-01-23,A6
C_30,2020-01-31,A1
C_30,2020-02-02,A2
C_30,2020-02-05,A5
C_30,2020-02-06,A6
C_30,2020-02-13,A1
C_30,2020-02-28,A5
C_30,2020-03-21,A1
C_30,2020-03-22,A5
C_30,2020-04-15,A5
C_30,2020-04-19,A1
C_30,2020-04-22,A6
C_30,2020-05-08,A7
C_30,2020-06-20,A5
C_31,2020-01-31,A4
C_31,2020-02-12,A3
C_31,2020-02-14,A7
C_31,2020-02-23,A1
C_31,2020-03-09,A4
C_31,2020-03-10,A3
C_31,2020-03-11,A3
C_31,2020-04-15,A7
C_31,2020-05-14,A2
C_32,2020-01-05,A6
C_32,2020-01-11,A2
C_32,2020-01-23,A3
C_32,2020-02-19,A3
C_32,2020-02-26,A3
C_32,2020-03-14,A6
C_32,2020-03-18,A4
C_32,2020-03-23,A1
C_32,2020-03-24,A7
C_32,2020-03-26,A2
C_32,2020-05-13,A4
C_32,2020-05-17,A1
C_32,2020-05-21,A2
C_32,2020-06-01,A5
C_33,2020-01-25,A1
C_33,2020-01-28,A6
C_33,2020-02-21,A5
C_33,2020-03-22,A7
C_33,2020-04-01,A6
C_33,2020-04-12,A5
C_33,2020-04-15,A7
C_33,2020-04-20,A4
C_33,2020-04-23,A4
C_33,2020-04-29,A1
C_33,2020-06-04,A7
C_33,2020-06-13,A4
C_33,2020-06-16,A4
C_33,2020-06-19,A3
C_34,2020-01-21,A3
C_34,2020-02-07,A6
C_34,2020-04-08,A7
C_34,2020-04-21,A6
C_34,2020-05-02,A1
C_34,2020-05-06,A7
C_34,2020-05-14,A6
C_34,2020-05-19,A4
C_34,2020-05-31,A1
C_34,2020-06-10,A1
C_35,2020-01-05,A4
C_35,2020-01-10,A3
C_35,2020-01-25,A7
C_35,2020-01-28,A1
C_35,2020-01-29,A6
C_35,2020-01-31,A5
C_35,2020-02-04,A1
C_35,2020-02-09,A2
C_35,2020-02-26,A6
C_35,2020-03-05,A2
C_35,2020-03-28,A5
C_35,2020-03-30,A1
C_35,2020-04-07,A6
C_35,2020-04-15,A1
C_35,2020-05-10,A6
C_35,2020-05-22,A5
C_35,2020-06-24,A2
C_36,2020-02-01,A2
C_36,2020-02-03,A6
C_36,2020-02-09,A4
C_36,2020-02-10,A1
C_36,2020-02-27,A5
C_36,2020-04-03,A4
C_36,2020-04-13,A1
C_36,2020-04-18,A5
C_36,2020-04-23,A3
C_36,2020-04-25,A7
C_36,2020-04-27,A6
C_36,2020-05-05,A1
C_36,2020-05-08,A7
C_36,2020-05-12,A5
C_36,2020-05-18,A7
C_36,2020-06-07,A3
C_36,2020-06-10,A7
C_36,2020-06-18,A7
C_37,2020-01-15,A5
C_37,2020-01-27,A7
C_37,2020-02-19,A6
C_37,2020-02-22,A2
C_37,2020-02-23,A5
C_37,2020-04-25,A7
C_37,2020-04-29,A2
C_37,2020-05-14,A3
C_37,2020-05-17,A6
C_37,2020-05-18,A1
C_37,2020-05-24,A1
C_37,2020-05-25,A5
C_37,2020-06-10,A2
C_38,2020-01-07,A6
C_38,2020-01-09,A5
C_38,2020-01-10,A1
C_38,2020-01-19,A1
C_38,2020-01-28,A2
C_38,2020-01-29,A2
C_38,2020-02-03,A3
C_38,2020-02-04,A7
C_38,2020-02-25,A7
C_38,2020-02-27,A3
C_38,2020-03-07,A7
C_38,2020-03-28,A4
C_38,2020-04-22,A2
C_38,2020-04-29,A2
C_38,2020-05-31,A2
C_38,2020-06-01,A1
C_38,2020-06-05,A6
C_39,2020-01-09,A5
C_39,2020-01-10,A2
C_39,2020-01-13,A7
C_39,2020-01-19,A7
C_39,2020-02-01,A6
C_39,2020-02-24,A1
C_39,2020-02-26,A3
C_39,2020-03-17,A3
C_39,2020-03-24,A7
C_39,2020-04-08,A1
C_39,2020-04-27,A1
C_39,2020-05-13,A7
C_39,2020-05-16,A3
C_39,2020-05-19,A6
C_40,2020-01-05,A3
C_40,2020-01-15,A7
C_40,2020-02-07,A6
C_40,2020-02-12,A5
C_40,2020-02-22,A7
C_40,2020-02-27,A7
C_40,2020-03-05,A4
C_40,2020-03-10,A4
C_40,2020-03-16,A4
C_40,2020-03-26,A3
C_40,2020-03-29,A3
C_40,2020-04-14,A1
C_40,2020-04-27,A1
C_40,2020-04-29,A7
C_40,2020-05-27,A6
C_40,2020-06-13,A1
C_41,2020-01-16,A4
C_41,2020-02-04,A3
C_41,2020-02-06,A7
C_41,2020-02-08,A2
C_41,2020-02-14,A4
C_41,2020-02-23,A4
C_41,2020-03-10,A1
C_41,2020-03-12,A3
C_41,2020-03-25,A6
C_41,2020-03-26,A4
C_41,2020-04-04,A3
C_41,2020-04-21,A6
C_41,2020-05-15,A1
C_41,2020-06-05,A4
C_41,2020-06-16,A4
C_41,2020-06-22,A1
C_42,2020-01-08,A5
C_42,2020-01-17,A3
C_42,2020-01-28,A7
C_42,2020-02-01,A6
C_42,2020-02-14,A1
C_42,2020-03-22,A6
C_42,2020-03-28,A1
C_42,2020-04-02,A6
C_42,2020-04-08,A4
C_42,2020-04-25,A1
C_42,2020-04-29,A6
C_42,2020-05-13,A7
C_42,2020-05-24,A7
C_42,2020-05-31,A1
C_42,2020-06-08,A5
C_42,2020-06-11,A2
C_42,2020-06-13,A3
C_42,2020-06-21,A4
C_43,2020-01-20,A4
C_43,2020-01-29,A3
C_43,2020-02-10,A3
C_43,2020-02-24,A6
C_43,2020-02-28,A7
C_43,2020-03-13,A3
C_43,2020-03-17,A6
C_43,2020-04-07,A1
C_43,2020-04-13,A2
C_43,2020-04-22,A6
C_43,2020-04-27,A2
C_43,2020-05-30,A6
C_43,2020-06-01,A1
C_43,2020-06-14,A1
C_43,2020-06-15,A3
C_44,2020-01-04,A7
C_44,2020-01-05,A2
C_44,2020-01-23,A3
C_44,2020-01-24,A6
C_44,2020-02-05,A4
C_44,2020-02-24,A4
C_44,2020-03-19,A1
C_44,2020-04-07,A4
C_44,2020-04-23,A1
C_44,2020-04-27,A3
C_44,2020-05-13,A3
C_44,2020-05-20,A2
C_44,2020-06-07,A3
C_44,2020-06-12,A6
C_44,2020-06-14,A5
C_44,2020-06-17,A4
C_44,2020-06-19,A1
C_45,2020-01-10,A6
C_45,2020-01-13,A1
C_45,2020-01-17,A5
C_45,2020-01-20,A2
C_45,2020-01-31,A1
C_45,2020-03-02,A7
C_45,2020-03-05,A3
C_45,2020-03-10,A7
C_45,2020-03-13,A3
C_45,2020-04-07,A2
C_45,2020-04-09,A6
C_45,2020-04-12,A2
C_45,2020-05-01,A5
C_45,2020-05-07,A4
C_45,2020-05-25,A3
C_45,2020-05-28,A3
C_46,2020-01-23,A5
C_46,2020-01-28,A5
C_46,2020-02-23,A7
C_46,2020-02-24,A6
C_46,2020-03-09,A4
C_46,2020-03-11,A3
C_46,2020-04-21,A4
C_46,2020-04-29,A3
C_46,2020-05-10,A7
C_46,2020-05-12,A3
C_46,2020-05-22,A6
C_46,2020-06-11,A5
C_47,2020-02-12,A7
C_47,2020-03-24,A4
C_47,2020-03-29,A4
C_47,2020-04-02,A3
C_47,2020-04-03,A3
C_47,2020-05-05,A7
C_47,2020-05-10,A3
C_47,2020-05-11,A6
C_47,2020-05-13,A1
C_47,2020-05-26,A3
C_47,2020-05-27,A5
C_48,2020-01-31,A2
C_48,2020-02-05,A2
C_48,2020-03-08,A1
C_48,2020-03-18,A1
C_48,2020-03-20,A6
C_48,2020-03-23,A5
C_48,2020-03-27,A3
C_48,2020-04-12,A3
C_48,2020-04-19,A2
C_48,2020-04-23,A6
C_48,2020-04-26,A1
C_48,2020-05-09,A5
C_48,2020-05-30,A7
C_48,2020-06-01,A1
C_48,2020-06-14,A4
C_49,2020-01-02,A5
C_49,2020-01-11,A7
C_49,2020-01-29,A5
C_49,2020-03-02,A1
C_49,2020-03-05,A1
C_49,2020-03-10,A5
C_49,2020-03-30,A4
C_49,2020-04-16,A1
C_49,2020-05-10,A4
C_49,2020-06-12,A3
C_49,2020-06-17,A7
C_50,2020-01-04,A3
C_50,2020-01-05,A2
C_50,2020-01-09,A6
C_50,2020-01-10,A7
C_50,2020-01-17,A6
C_50,2020-02-05,A2
C_50,2020-02-27,A1
C_50,2020-04-06,A5
C_50,2020-04-26,A2
C_50,2020-05-02,A6
C_50,2020-05-17,A2
C_50,2020-05-20,A3
C_51,2020-01-04,A4
C_51,2020-01-16,A3
C_51,2020-01-18,A3
C_51,2020-01-24,A3
C_51,2020-02-09,A2
C_51,2020-02-22,A3
C_51,2020-03-11,A6
C_51,2020-03-15,A6
C_51,2020-04-18,A7
C_51,2020-05-04,A2
C_51,2020-05-07,A3
C_51,2020-05-21,A6
C_51,2020-05-22,A7
C_51,2020-06-10,A1
C_52,2020-02-01,A7
C_52,2020-02-09,A1
C_52,2020-02-17,A6
C_52,2020-02-27,A1
C_52,2020-03-01,A7
C_52,2020-05-07,A3
C_52,2020-05-14,A2
C_52,2020-05-29,A3
C_52,2020-05-31,A1
C_53,2020-01-20,A1
C_53,2020-01-28,A7
C_53,2020-02-12,A6
C_53,2020-02-13,A7
C_53,2020-02-23,A6
C_53,2020-03-10,A2
C_53,2020-03-23,A6
C_53,2020-03-28,A1
C_53,2020-03-30,A1
C_53,2020-04-04,A7
C_53,2020-05-05,A1
C_53,2020-05-25,A6
C_53,2020-06-25,A5
C_54,2020-01-30,A4
C_54,2020-01-31,A1
C_54,2020-02-03,A5
C_54,2020-02-15,A7
C_54,2020-02-18,A7
C_54,2020-02-28,A5
C_54,2020-03-19,A4
C_54,2020-03-26,A4
C_54,2020-03-27,A3
C_54,2020-03-28,A6
C_54,2020-04-02,A1
C_54,2020-04-12,A5
C_54,2020-04-19,A6
C_54,2020-04-21,A4
C_54,2020-06-13,A3
C_54,2020-06-22,A1
C_55,2020-01-06,A6
C_55,2020-01-11,A2
C_55,2020-01-17,A3
C_55,2020-03-18,A2
C_55,2020-03-21,A6
C_55,2020-03-25,A2
C_55,2020-04-04,A6
C_55,2020-04-08,A5
C_55,2020-05-30,A2
C_55,2020-06-08,A7
C_55,2020-06-14,A2
C_55,2020-06-16,A5
C_56,2020-01-08,A1
C_56,2020-01-19,A5
C_56,2020-01-27,A5
C_56,2020-02-17,A7
C_56,2020-02-23,A3
C_56,2020-02-29,A1
C_56,2020-03-09,A1
C_56,2020-03-23,A1
C_56,2020-03-24,A6
C_56,2020-04-05,A5
C_56,2020-04-17,A6
C_56,2020-05-26,A2
C_56,2020-06-08,A6
C_56,2020-06-23,A7
C_56,2020-06-24,A3
C_57,2020-01-25,A6
C_57,2020-02-04,A5
C_57,2020-02-09,A7
C_57,2020-02-13,A5
C_57,2020-02-15,A6
C_57,2020-02-20,A5
C_57,2020-03-17,A1
C_57,2020-03-19,A1
C_57,2020-06-07,A5
C_58,2020-01-14,A2
C_58,2020-02-13,A3
C_58,2020-02-18,A7
C_58,2020-02-21,A7
C_58,2020-02-26,A7
C_58,2020-03-11,A3
C_58,2020-04-05,A3
C_58,2020-04-07,A2
C_58,2020-04-15,A5
C_58,2020-04-24,A2
C_58,2020-06-02,A1
C_58,2020-06-12,A1
C_59,2020-01-01,A1
C_59,2020-01-12,A5
C_59,2020-01-17,A7
C_59,2020-01-26,A5
C_59,2020-01-29,A7
C_59,2020-03-11,A4
C_59,2020-03-19,A4
C_59,2020-03-28,A1
C_59,2020-04-24,A6
C_59,2020-05-05,A7
C_59,2020-05-22,A1
C_60,2020-01-05,A2
C_60,2020-01-26,A1
C_60,2020-02-02,A2
C_60,2020-02-13,A6
C_60,2020-02-18,A7
C_60,2020-03-06,A7
C_60,2020-03-08,A2
C_60,2020-03-26,A3
C_60,2020-04-12,A1
C_60,2020-04-26,A4
C_60,2020-05-04,A7
C_60,2020-05-30,A3
C_60,2020-05-31,A7
C_60,2020-06-02,A5
C_61,2020-01-05,A4
C_61,2020-03-04,A5
C_61,2020-03-06,A1
C_61,2020-03-10,A5
C_61,2020-03-16,A5
C_61,2020-03-17,A2
C_61,2020-03-21,A5
C_61,2020-03-28,A2
C_61,2020-05-11,A4
C_61,2020-05-23,A1
C_61,2020-05-24,A6
C_62,2020-01-07,A5
C_62,2020-02-01,A2
C_62,2020-02-05,A5
C_62,2020-02-06,A7
C_62,2020-02-08,A1
C_62,2020-03-11,A1
C_62,2020-04-04,A7
C_62,2020-04-09,A7
C_62,2020-04-14,A7
C_62,2020-04-22,A3
C_62,2020-04-23,A1
C_62,2020-05-05,A3
C_63,2020-01-22,A4
C_63,2020-01-28,A1
C_63,2020-02-03,A6
C_63,2020-02-08,A7
C_63,2020-02-16,A5
C_63,2020-02-19,A2
C_63,2020-02-23,A6
C_63,2020-02-29,A1
C_63,2020-03-08,A5
C_63,2020-03-14,A1
C_63,2020-04-17,A6
C_63,2020-04-27,A5
C_63,2020-05-03,A7
C_63,2020-05-16,A6
C_63,2020-05-20,A1
C_63,2020-06-07,A6
C_64,2020-01-02,A6
C_64,2020-01-20,A1
C_64,2020-02-12,A3
C_64,2020-02-26,A6
C_64,2020-03-01,A2
C_64,2020-03-11,A5
C_64,2020-03-12,A7
C_64,2020-03-21,A6
C_64,2020-03-22,A1
C_64,2020-03-30,A1
C_64,2020-04-02,A2
C_64,2020-04-16,A2
C_64,2020-05-09,A6
C_64,2020-05-17,A4
C_64,2020-05-18,A5
C_64,2020-05-30,A7
C_64,2020-06-12,A5
C_64,2020-06-20,A2
C_65,2020-01-09,A4
C_65,2020-01-14,A1
C_65,2020-01-18,A7
C_65,2020-01-20,A4
C_65,2020-02-10,A3
C_65,2020-03-14,A2
C_65,2020-05-22,A6
C_65,2020-05-23,A7
C_65,2020-05-26,A3
C_65,2020-06-01,A6
C_66,2020-01-06,A3
C_66,2020-02-20,A2
C_66,2020-03-18,A6
C_66,2020-04-06,A7
C_66,2020-04-16,A1
C_66,2020-06-05,A7
C_66,2020-06-07,A4
C_66,2020-06-17,A3
C_66,2020-06-18,A6
C_67,2020-02-17,A2
C_67,2020-02-24,A6
C_67,2020-02-28,A1
C_67,2020-03-02,A1
C_67,2020-03-20,A2
C_67,2020-03-24,A5
C_67,2020-04-03,A1
C_67,2020-04-12,A2
C_67,2020-04-25,A3
C_67,2020-04-29,A4
C_67,2020-05-05,A1
C_67,2020-05-22,A5
C_67,2020-05-23,A2
C_67,2020-06-08,A6
C_67,2020-06-21,A5
C_68,2020-01-12,A3
C_68,2020-01-13,A2
C_68,2020-01-28,A3
C_68,2020-02-02,A3
C_68,2020-02-21,A1
C_68,2020-03-01,A4
C_68,2020-03-14,A1
C_68,2020-03-24,A1
C_68,2020-04-18,A7
C_68,2020-05-03,A6
C_68,2020-05-04,A4
C_68,2020-05-23,A1
C_68,2020-06-19,A7
C_69,2020-01-26,A5
C_69,2020-02-01,A2
C_69,2020-02-02,A5
C_69,2020-02-06,A7
C_69,2020-02-13,A6
C_69,2020-02-22,A1
C_69,2020-02-29,A1
C_69,2020-03-03,A4
C_69,2020-03-17,A3
C_69,2020-03-22,A7
C_69,2020-04-07,A2
C_69,2020-04-15,A6
C_69,2020-05-14,A1
C_69,2020-05-31,A7
C_69,2020-06-01,A1
C_69,2020-06-02,A7
C_69,2020-06-11,A6
C_69,2020-06-12,A1
C_70,2020-01-13,A5
C_70,2020-01-18,A2
C_70,2020-01-29,A1
C_70,2020-02-02,A7
C_70,2020-02-04,A6
C_70,2020-02-07,A6
C_70,2020-03-19,A7
C_70,2020-03-21,A4
C_70,2020-04-15,A2
C_70,2020-04-23,A5
C_70,2020-05-09,A6
C_70,2020-06-03,A2
C_70,2020-06-09,A5
C_71,2020-02-06,A7
C_71,2020-02-11,A3
C_71,2020-02-12,A3
C_71,2020-02-16,A3
C_71,2020-02-28,A2
C_71,2020-04-01,A2
C_71,2020-04-15,A5
C_71,2020-04-21,A1
C_71,2020-04-23,A2
C_72,2020-01-21,A3
C_72,2020-02-05,A2
C_72,2020-02-09,A6
C_72,2020-02-26,A7
C_72,2020-02-29,A6
C_72,2020-05-08,A1
C_72,2020-05-17,A7
C_72,2020-05-26,A4
C_72,2020-05-30,A7
C_72,2020-06-03,A6
C_72,2020-06-04,A6
C_73,2020-01-08,A3
C_73,2020-01-10,A4
C_73,2020-01-13,A1
C_73,2020-01-28,A7
C_73,2020-01-29,A3
C_73,2020-02-03,A7
C_73,2020-02-05,A5
C_73,2020-02-10,A6
C_73,2020-02-19,A1
C_73,2020-02-21,A5
C_73,2020-03-09,A2
C_73,2020-04-04,A2
